ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
177,,,EMOJI/40G/96 STK.,1,,visible,,,,,,,1,136,0,0,4,,,,0,,,742,Kjærligheter,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,EUROPALL VARMEBEHANDLET,1,,visible,,,,,,,1,,0,0,,,,,0,,,125,Diverse,,,,,,,,,,,,,,,,,,,,,,,,,
464,,,FILLER FUNNEL #2151,1,,visible,,,,,,,1,,0,0,,,,,0,,,550,Deler og tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
601,,,Filter (5 lags oljefilter) til Pop-O-Gold #41250,1,,visible,,Priser inn/ut oppdatert 9/22,,,,,1,7,0,0,,,,,0,,,645,Deler og tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
673,,,Filter til Citation 16 oz. ,1,,visible,,Filter inmnvendig i taket på Citation. Skal vaskes daglig/ukentlig ved bruk.,,,,,1,4,0,0,,,,,0,,,629,Deler og tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
491,,,FJÆR TIL TORNADO #20006,1,,visible,,oppdatert 9/22,,,,,1,16,0,0,,,,,0,,,185,Deler og tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
574,,,FJØR TIL TAPPEKRAN/SKYLINE,1,,visible,,,,,,,1,19,0,0,,,,,0,,,107,Deler Slushmaskiner,,,,,,,,,,,,,,,,,,,,,,,,,
566,,,FLASKE TIL VAFFELRØRE ,1,,visible,,,,,,,1,8,0,0,0.86,,,,0,,,93,Vafler maskiner og utstyr,,,,,,,,,,,,,,,,,,,,,,,,,
435,,,FLAV-ROTATE POPCORN MIXER/20L/#2349EX,1,,visible,,,,,,,1,2,0,0,10,,,,0,,,3750,Popcornmaskiner,,,,,,,,,,,,,,,,,,,,,,,,,
704,,,Flexi,1,,visible,,Produkt opprettet for arbeidstype,,,,,1,,0,0,,,,,0,,,,Produkter for arbeidstyper,,,,,,,,,,,,,,,,,,,,,,,,,
705,,,Flexi,1,,visible,,Produkt opprettet for arbeidstype,,,,,1,,0,0,,,,,0,,,,Produkter for arbeidstyper,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,FLOSS BAND (HUS TUL V.E) WIRLWIND 5 IN DBL #42213,1,,hidden,,oppdatert 9/22,,,,,1,2,0,0,,,,,0,,,2650,Deler og tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,FLOSS BAND (HUS) FLOSS/ECONO 5IN #43165,1,,visible,,oppdatert 9/22,,,,,1,5,0,0,,,,,0,,,2330,Deler og tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,FLOSS BAND (HUS) TORNADO 7IN #42214,1,,visible,,oppdatert 9/22,,,,,1,6,0,0,,,,,0,,,2900,Deler og tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,FLOSSIN BLÅ #3453,1,,visible,,"11/12
1 boks flossine holder til ca. 4000-5000 sukkerspinn.
Bruksanvsining: 1 spiseskje (ca. 6 gram) til 5 kg. sukker.",,,,,1,121,0,0,0.5,,,,0,,,295,Sukkerspinn tilbehør mat,,,,,,,,,,,,,,,,,,,,,,,,,
580,,,FLOSSIN GRØNN #3470,1,,visible,,"11/12
1 boks flossine holder til ca. 4000-5000 sukkerspinn.
Bruksanvsining: 1 spiseskje (ca. 6 gram) til 5 kg. sukker.",,,,,1,23,0,0,0.5,,,,0,,,295,Sukkerspinn tilbehør mat,,,,,,,,,,,,,,,,,,,,,,,,,
263,,,FLOSSIN GUL #3462,1,,visible,,"11/12
1 boks flossine holder til ca. 4000-5000 sukkerspinn.
Bruksanvsining: 1 spiseskje (ca. 6 gram) til 5 kg. sukker.",,,,,1,34,0,0,0.5,,,,0,,,295,Sukkerspinn tilbehør mat,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,FLOSSIN ROSA #3454,1,,visible,,"11/12
1 boks flossine holder til ca. 4000-5000 sukkerspinn.
Bruksanvsining: 1 spiseskje (ca. 6 gram) til 5 kg. sukker.",,,,,1,95,0,0,0.5,,,,0,,,295,Sukkerspinn tilbehør mat,,,,,,,,,,,,,,,,,,,,,,,,,
615,,,Forseglingsring (enden av rørepinne/kolbe)/#F022/1,1,,visible,,Sealing ring,,,,,1,10,0,0,,,,,0,,,79,Deler Slushmaskiner,,,,,,,,,,,,,,,,,,,,,,,,,
622,,,Fotballsnacks Bacon/25 stk./75g,1,,visible,,,,,,,1,,0,0,,,,,0,,,173,Snacks,,,,,,,,,,,,,,,,,,,,,,,,,
623,,,Fotballsnacks Paprika/25 stk./75g.,1,,visible,,,,,,,1,,0,0,,,,,0,,,173,Snacks,,,,,,,,,,,,,,,,,,,,,,,,,
388,,,FRAKT LEVERING,1,,visible,,,,,,,1,,0,0,,,,,0,,,390,Diverse,,,,,,,,,,,,,,,,,,,,,,,,,
229,,,FRAKTOMKOSTNINGER,1,,visible,,,,,,,1,,0,0,,,,,0,,,,Diverse,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,FREE-N-EASY # 2250,1,,visible,,Stk.pris pr. flaske. Kartong á 12 stk.,,,,,1,56,0,0,,,,,0,,,149,Diverse,,,,,,,,,,,,,,,,,,,,,,,,,
671,,,Fronetikett Cherry Punch,1,,visible,,,,,,,1,40,0,0,,,,,0,,,10,Slush tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
686,,,Frontetikett Appelsin,1,,visible,,,,,,,1,39,0,0,,,,,0,,,10,Slush tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
678,,,Frontetikett Blå Bringebær,1,,visible,,,,,,,1,90,0,0,,,,,0,,,10,Slush tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
688,,,Frontetikett Champagne,1,,visible,,,,,,,1,45,0,0,,,,,0,,,10,Slush tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
676,,,Frontetikett Cherry Punch,1,,visible,,,,,,,1,40,0,0,,,,,0,,,10,Slush tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
690,,,Frontetikett Cola,1,,visible,,,,,,,1,95,0,0,,,,,0,,,10,Slush tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
669,,,Frontetikett Cotton Candy,1,,visible,,,,,,,1,40,0,0,,,,,0,,,10,Slush tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
680,,,Frontetikett Grønt Eple,1,,visible,,,,,,,1,39,0,0,,,,,0,,,10,Slush tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
674,,,Frontetikett Jordbær,1,,visible,,,,,,,1,89,0,0,,,,,0,,,10,Slush tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
684,,,Frontetikett Mango,1,,visible,,,,,,,1,40,0,0,,,,,0,,,10,Slush tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
682,,,Frontetikett Søt Sitron,1,,visible,,,,,,,1,40,0,0,,,,,0,,,10,Slush tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,FRUKT SMOKK M/MOBILBÅND/50G/ 72 STK,1,,visible,,HUNDERFOSSEN ,,,,,1,,0,0,,,,,0,,,1183,Kjærligheter,,,,,,,,,,,,,,,,,,,,,,,,,
413,,,FRUKTSMOKK /HOT LIPS/50G/ 120 STK,1,,hidden,,,,,,,1,,0,0,,,,,0,,,1800,Obsolete,,,,,,,,,,,,,,,,,,,,,,,,,
411,,,FRUKTSMOKK HUNDERFOSSEN/50G/ 72 STK,1,,visible,,,,,,,1,86,0,0,4,,,,0,,,1159,Kjærligheter,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,FRUKTSMOKK M/SNOR/50G/ 120 STK.,1,,visible,,,,,,,1,335,0,0,6.5,,,,0,,,999,Kjærligheter,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,FUN POP 4OZ #2404 RØD,1,,visible,,11/22,,,,,1,1,0,0,21.3,,,,0,,,7200,Popcornmaskiner,,,,,,,,,,,,,,,,,,,,,,,,,
471,,,FUN POP 4OZ SORT,1,,visible,,11/22,,,,,1,3,0,0,21.3,,,,0,,,7200,Popcornmaskiner,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,FUN POP 8 OZ BLACK AND GOLD #2408BKGX,1,,visible,,11/22,,,,,1,7,0,0,25,,,,0,,,8900,Popcornmaskiner,,,,,,,,,,,,,,,,,,,,,,,,,
363,,,FUN POP 8 OZ RED #24008EX,1,,visible,,11/22,,,,,1,,0,0,25,,,,0,,,8900,Popcornmaskiner,,,,,,,,,,,,,,,,,,,,,,,,,
586,,,FunPop8-pakke,1,,visible,,,,,,,1,,0,0,,,,,0,,,8990,Diverse,,,,,,,,,,,,,,,,,,,,,,,,,
707,,,Gaffel til vaffel,1,,visible,,,,,,,1,2,0,0,,,,,0,,,490,Vafler maskiner og utstyr,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,GIR BOX W/BRUSHING  #47065,1,,visible,,,,,,,1,,0,0,,,,,0,,,220,Deler og tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
364,,,GREEN TOP 12 OZ #2214,1,,visible,,11/22,,,,,1,3,0,0,38.5,,,,0,,,15900,Popcornmaskiner,,,,,,,,,,,,,,,,,,,,,,,,,
